Iteration       NormGrad          Cost      Equality     Inequality     Rel. cost         Rel. x     Line-search
        0    9.87168e-03   3.71627e-03   0.00000e+00   -1.21098e-03   1.00000e+00    1.00000e+00               0
        1    1.29291e-02   3.71317e-03   0.00000e+00   -1.21125e-03   1.70723e+00    3.94218e-04              27
        2    1.40585e-02   3.71177e-03   0.00000e+00   -1.21078e-03   1.74019e+00    4.65725e-04              26
        3    1.54334e-02   3.70949e-03   0.00000e+00   -1.21060e-03   1.72181e+00    8.97680e-04              26
        4    1.16176e-02   3.69655e-03   0.00000e+00   -1.17962e-03   1.66122e+00    3.64261e-03              21
        5    1.05291e-02   3.69136e-03   0.00000e+00   -1.17357e-03   2.08377e+00    2.44163e-03              43
        6    1.18131e-02   3.69038e-03   0.00000e+00   -1.17393e-03   1.80547e+00    6.11832e-04              36
        7    6.01859e-03   3.68749e-03   0.00000e+00   -1.15385e-03   1.66481e+00    3.97199e-03              25
        8    8.71815e-03   3.68540e-03   0.00000e+00   -1.15428e-03   1.60529e+00    2.64810e-04              29
        9    2.67844e-02   3.73929e-03   0.00000e+00   -1.08423e-03   1.51633e+00    2.97705e-02              18
       10    2.97435e-02   3.73246e-03   0.00000e+00   -1.08533e-03   1.66507e+00    5.04764e-03              23
       11    2.46232e-02   3.72146e-03   0.00000e+00   -1.06832e-03   1.51188e+00    2.07388e-03              29
       12    2.37753e-02   3.71986e-03   0.00000e+00   -1.06763e-03   1.83596e+00    5.50816e-04              36
       13    6.40933e-03   3.71961e-03   0.00000e+00   -1.06749e-03   1.71408e+00    7.53169e-05              41
       14    2.36335e-02   3.71958e-03   0.00000e+00   -1.06747e-03   1.56277e+00    7.05910e-06              48
       15    2.32851e-02   3.71823e-03   0.00000e+00   -1.06751e-03   1.48484e+00    3.57271e-04              30
       16    2.13972e-02   3.71818e-03   0.00000e+00   -1.06749e-03   1.48538e+00    2.50358e-05              51
       17    2.22479e-02   3.71499e-03   0.00000e+00   -1.06311e-03   1.44332e+00    2.93475e-03              16
       18    1.33836e-02   3.71740e-03   0.00000e+00   -1.05909e-03   1.50230e+00    5.75341e-03              16
       19    1.57261e-02   3.71024e-03   0.00000e+00   -9.82733e-04   1.35494e+00    6.92974e-03              14
       20    2.50348e-02   3.72405e-03   0.00000e+00   -8.66081e-04   1.19679e+00    1.01827e-02              13
       21    1.87646e-02   3.71882e-03   0.00000e+00   -8.51252e-04   1.14991e+00    2.36337e-03              24
       22    1.84878e-02   3.71802e-03   0.00000e+00   -8.50331e-04   1.14703e+00    2.12081e-04              31
       23    1.84964e-02   3.71802e-03   0.00000e+00   -8.50331e-04   2.97847e+00    3.26686e-14             146
       24    1.65546e-02   3.72232e-03   0.00000e+00   -8.65694e-04   2.10381e+00    3.03812e-03              23
       25    1.61197e-02   3.72162e-03   0.00000e+00   -8.65429e-04   1.68594e+00    2.36075e-04              42
       26    1.61626e-02   3.72159e-03   0.00000e+00   -8.65422e-04   1.44510e+00    1.07173e-05              53
       27    1.38196e-02   3.71415e-03   0.00000e+00   -8.65758e-04   1.30945e+00    2.11227e-03              24
       28    1.20620e-02   3.71265e-03   0.00000e+00   -8.64631e-04   1.23628e+00    5.33012e-04              32
       29    7.58915e-03   3.69611e-03   0.00000e+00   -7.27863e-04   1.08546e+00    7.06680e-03              20
       30    1.88094e-02   3.69585e-03   0.00000e+00   -7.08880e-04   1.03262e+00    3.92289e-03              20
       31    1.56291e-02   3.68947e-03   0.00000e+00   -7.17338e-04   9.94479e-01    3.59274e-03              16
       32    1.50026e-02   3.68802e-03   0.00000e+00   -7.17501e-04   1.01363e+00    7.36828e-04              33
       33    4.69019e-03   3.68337e-03   0.00000e+00   -7.15546e-04   9.89942e-01    1.06807e-02              20
       34    2.04605e-02   3.70654e-03   0.00000e+00   -6.51405e-04   9.36264e-01    8.58044e-03              18
       35    4.80496e-03   3.65610e-03   0.00000e+00   -3.77238e-04   5.24070e-01    6.78964e-03              14
       36    8.42983e-03   3.67065e-03   0.00000e+00   -2.27034e-04   3.39867e-01    5.42475e-03              17
       37    6.38047e-03   3.65820e-03   0.00000e+00   -2.00055e-04   3.35452e-01    4.49860e-03              24
       38    5.19183e-03   3.64531e-03   0.00000e+00   -1.99694e-04   2.70307e-01    4.85756e-03              13
       39    1.31162e-02   3.68322e-03   0.00000e+00   -1.20232e-04   7.59278e-02    6.34499e-03              17
       40    9.27377e-03   3.66411e-03   0.00000e+00   -2.23564e-04   4.33891e-02    6.08812e-03              16
       41    6.53786e-03   3.65767e-03   0.00000e+00   -1.57624e-05   9.01629e-02    8.40889e-03              19
       42    6.57821e-03   3.65789e-03   0.00000e+00   -1.59209e-05   7.53687e-02    3.61737e-04              32
       43    4.05577e-03   3.65767e-03   0.00000e+00   -1.50283e-05   3.50932e-02    4.74035e-03              35
       44    3.96213e-03   3.66581e-03   0.00000e+00   -1.37210e-04   3.59591e-02    3.92095e-03              24
       45    3.87387e-03   3.67037e-03   0.00000e+00   -1.14499e-04   4.95235e-02    2.09209e-03              21
       46    6.83911e-03   3.66878e-03   0.00000e+00   -1.49026e-04   3.49287e-02    1.37885e-03              27
       47    5.34292e-03   3.66790e-03   0.00000e+00   -6.85330e-05   3.80176e-02    2.66690e-03              22
       48    3.87932e-03   3.66462e-03   0.00000e+00   -9.37555e-07   2.43542e-02    1.58570e-03              32
       49    3.78683e-03   3.66410e-03   0.00000e+00   -5.36543e-07   2.26861e-02    1.95570e-04              38
       50    3.67869e-03   3.66361e-03   0.00000e+00   -6.23632e-07   1.17732e-02    1.52857e-04              43
       51    3.67876e-03   3.66361e-03   0.00000e+00   -6.23632e-07   6.47879e-02    4.63362e-15             150
       52    3.62288e-03   3.66309e-03   0.00000e+00   -7.09813e-07   4.47343e-02    1.48480e-04              45
       53    3.51325e-03   3.66276e-03   0.00000e+00   -7.43090e-07   1.07497e-01    9.06409e-05              58
       54    3.40564e-03   3.66254e-03   0.00000e+00   -8.26611e-07   7.74428e-02    4.01094e-04              31
       55    3.49124e-03   3.66244e-03   0.00000e+00   -8.83831e-07   5.93240e-02    2.16230e-04              34
       56    3.55458e-03   3.66208e-03   0.00000e+00   -9.38491e-07   3.71322e-02    1.91159e-04              40
       57    3.55499e-03   3.66208e-03   0.00000e+00   -9.38491e-07   8.95618e-01    1.62684e-13             164
       58    3.55499e-03   3.66208e-03   0.00000e+00   -9.38491e-07   4.69096e-01    7.01838e-14             135
       59    3.40283e-03   3.66184e-03   0.00000e+00   -9.68336e-07   2.36698e-01    1.16934e-04              50
       60    3.33426e-03   3.66152e-03   0.00000e+00   -1.01867e-06   1.21627e-01    1.48272e-04              46
       61    3.34260e-03   3.66124e-03   0.00000e+00   -1.05729e-06   7.32244e-02    1.01712e-04              39
       62    3.30594e-03   3.66106e-03   0.00000e+00   -1.07203e-06   5.79365e-02    9.54813e-05              50
       63    3.22403e-03   3.66083e-03   0.00000e+00   -1.11336e-06   3.03359e-01    1.66170e-04              56
       64    3.21596e-03   3.66081e-03   0.00000e+00   -1.11389e-06   1.85315e-01    1.79309e-05              60
       65    3.22237e-03   3.66059e-03   0.00000e+00   -1.15048e-06   9.45708e-02    1.53259e-04              49
       66    3.26755e-03   3.66054e-03   0.00000e+00   -1.15509e-06   7.24892e-02    5.13461e-05              45
       67    3.23510e-03   3.66047e-03   0.00000e+00   -1.16080e-06   6.97262e-01    6.19594e-05              74
       68    3.23512e-03   3.66047e-03   0.00000e+00   -1.16080e-06   4.11446e-01    1.23442e-13             140
       69    3.13118e-03   3.66030e-03   0.00000e+00   -1.22133e-06   2.17050e-01    2.17206e-04              32
